| Endereco Virtual: 0 | Endereco Fisico: 0 | Tamanho: 4096 | id: 1
| Endereco Virtual: 1 | Endereco Fisico: 4097 | Tamanho: 4096 | id: 1
| Endereco Virtual: 10 | Endereco Fisico: 4106 | Tamanho: 4096 | id: 1
| Endereco Virtual: 11 | Endereco Fisico: 4107 | Tamanho: 4096 | id: 1
| Endereco Virtual: 100 | Endereco Fisico: 4196 | Tamanho: 4096 | id: 1
| Endereco Virtual: 101 | Endereco Fisico: 4197 | Tamanho: 4096 | id: 1
| Endereco Virtual: 110 | Endereco Fisico: 4206 | Tamanho: 4096 | id: 1
| Endereco Virtual: 111 | Endereco Fisico: 4207 | Tamanho: 4096 | id: 1
| Endereco Virtual: 1000 | Endereco Fisico: 5096 | Tamanho: 4096 | id: 1
| Endereco Virtual: 1001 | Endereco Fisico: 5097 | Tamanho: 4096 | id: 1
| Endereco Virtual: 1010 | Endereco Fisico: 5106 | Tamanho: 4096 | id: 1
| Endereco Virtual: 1011 | Endereco Fisico: 5107 | Tamanho: 4096 | id: 1
| Endereco Virtual: 1100 | Endereco Fisico: 5196 | Tamanho: 4096 | id: 1
| Endereco Virtual: 1101 | Endereco Fisico: 5197 | Tamanho: 4096 | id: 1
| Endereco Virtual: 1110 | Endereco Fisico: 5206 | Tamanho: 4096 | id: 1
| Endereco Virtual: 1111 | Endereco Fisico: 5207 | Tamanho: 4096 | id: 1
| Endereco Virtual: 10000 | Endereco Fisico: 5904 | Tamanho: 4096 | id: 1
| Endereco Virtual: 10001 | Endereco Fisico: 5905 | Tamanho: 4096 | id: 1
| Endereco Virtual: 10010 | Endereco Fisico: 5914 | Tamanho: 4096 | id: 1
| Endereco Virtual: 10011 | Endereco Fisico: 5915 | Tamanho: 4096 | id: 1
| Endereco Virtual: 10100 | Endereco Fisico: 6004 | Tamanho: 4096 | id: 2
| Endereco Virtual: 10101 | Endereco Fisico: 6005 | Tamanho: 4096 | id: 2
| Endereco Virtual: 10110 | Endereco Fisico: 6014 | Tamanho: 4096 | id: 2
| Endereco Virtual: 10111 | Endereco Fisico: 6015 | Tamanho: 4096 | id: 2
| Endereco Virtual: 11000 | Endereco Fisico: 6904 | Tamanho: 4096 | id: 2
| Endereco Virtual: 11001 | Endereco Fisico: 6905 | Tamanho: 4096 | id: 2
| Endereco Virtual: 11010 | Endereco Fisico: 6914 | Tamanho: 4096 | id: 2
| Endereco Virtual: 11011 | Endereco Fisico: 6915 | Tamanho: 4096 | id: 2
| Endereco Virtual: 11100 | Endereco Fisico: 7004 | Tamanho: 4096 | id: 2
| Endereco Virtual: 11101 | Endereco Fisico: 7005 | Tamanho: 4096 | id: 2
| Endereco Virtual: 11110 | Endereco Fisico: 7014 | Tamanho: 4096 | id: 2
| Endereco Virtual: 11111 | Endereco Fisico: 7015 | Tamanho: 4096 | id: 2
| Endereco Virtual: 100000 | Endereco Fisico: 5792 | Tamanho: 4096 | id: 2
| Endereco Virtual: 100001 | Endereco Fisico: 5793 | Tamanho: 4096 | id: 2
| Endereco Virtual: 100010 | Endereco Fisico: 5802 | Tamanho: 4096 | id: 2
| Endereco Virtual: 100011 | Endereco Fisico: 5803 | Tamanho: 4096 | id: 2
| Endereco Virtual: 100100 | Endereco Fisico: 5892 | Tamanho: 4096 | id: 2
| Endereco Virtual: 100101 | Endereco Fisico: 5893 | Tamanho: 4096 | id: 2
| Endereco Virtual: 100110 | Endereco Fisico: 5902 | Tamanho: 4096 | id: 3
| Endereco Virtual: 100111 | Endereco Fisico: 5903 | Tamanho: 4096 | id: 3
| Endereco Virtual: 101000 | Endereco Fisico: 6792 | Tamanho: 4096 | id: 3
| Endereco Virtual: 101001 | Endereco Fisico: 6793 | Tamanho: 4096 | id: 3
| Endereco Virtual: 101010 | Endereco Fisico: 6802 | Tamanho: 4096 | id: 3
| Endereco Virtual: 101011 | Endereco Fisico: 6803 | Tamanho: 4096 | id: 3
| Endereco Virtual: 101100 | Endereco Fisico: 6892 | Tamanho: 4096 | id: 3
| Endereco Virtual: 101101 | Endereco Fisico: 6893 | Tamanho: 4096 | id: 3
| Endereco Virtual: 101110 | Endereco Fisico: 6902 | Tamanho: 4096 | id: 3
| Endereco Virtual: 101111 | Endereco Fisico: 6903 | Tamanho: 4096 | id: 3
| Endereco Virtual: 110000 | Endereco Fisico: 7600 | Tamanho: 4096 | id: 3
| Endereco Virtual: 110001 | Endereco Fisico: 7601 | Tamanho: 4096 | id: 3
| Endereco Virtual: 110010 | Endereco Fisico: 7610 | Tamanho: 4096 | id: 3
| Endereco Virtual: 110011 | Endereco Fisico: 7611 | Tamanho: 4096 | id: 3
| Endereco Virtual: 110100 | Endereco Fisico: 7700 | Tamanho: 4096 | id: 3
| Endereco Virtual: 110101 | Endereco Fisico: 7701 | Tamanho: 4096 | id: 3
| Endereco Virtual: 110110 | Endereco Fisico: 7710 | Tamanho: 4096 | id: 3
| Endereco Virtual: 110111 | Endereco Fisico: 7711 | Tamanho: 4096 | id: 3
| Endereco Virtual: 111000 | Endereco Fisico: 4504 | Tamanho: 4096 | id: 4
| Endereco Virtual: 111001 | Endereco Fisico: 4505 | Tamanho: 4096 | id: 4
| Endereco Virtual: 111010 | Endereco Fisico: 4514 | Tamanho: 4096 | id: 4
| Endereco Virtual: 111011 | Endereco Fisico: 4515 | Tamanho: 4096 | id: 4
| Endereco Virtual: 111100 | Endereco Fisico: 4604 | Tamanho: 4096 | id: 4
| Endereco Virtual: 111101 | Endereco Fisico: 4605 | Tamanho: 4096 | id: 4
| Endereco Virtual: 111110 | Endereco Fisico: 4614 | Tamanho: 4096 | id: 4
| Endereco Virtual: 111111 | Endereco Fisico: 4615 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1000000 | Endereco Fisico: 4672 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1000001 | Endereco Fisico: 4673 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1000010 | Endereco Fisico: 4682 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1000011 | Endereco Fisico: 4683 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1000100 | Endereco Fisico: 4772 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1000101 | Endereco Fisico: 4773 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1000110 | Endereco Fisico: 4782 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1000111 | Endereco Fisico: 4783 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1001000 | Endereco Fisico: 5672 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1001001 | Endereco Fisico: 5673 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1001010 | Endereco Fisico: 5682 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1001011 | Endereco Fisico: 5683 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1001100 | Endereco Fisico: 5772 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1001101 | Endereco Fisico: 5773 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1001110 | Endereco Fisico: 5782 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1001111 | Endereco Fisico: 5783 | Tamanho: 4096 | id: 4
| Endereco Virtual: 1010000 | Endereco Fisico: 6480 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1010001 | Endereco Fisico: 6481 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1010010 | Endereco Fisico: 6490 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1010011 | Endereco Fisico: 6491 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1010100 | Endereco Fisico: 6580 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1010101 | Endereco Fisico: 6581 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1010110 | Endereco Fisico: 6590 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1010111 | Endereco Fisico: 6591 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1011000 | Endereco Fisico: 7480 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1011001 | Endereco Fisico: 7481 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1011010 | Endereco Fisico: 7490 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1011011 | Endereco Fisico: 7491 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1011100 | Endereco Fisico: 7580 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1011101 | Endereco Fisico: 7581 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1011110 | Endereco Fisico: 7590 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1011111 | Endereco Fisico: 7591 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1100000 | Endereco Fisico: 6368 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1100001 | Endereco Fisico: 6369 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1100010 | Endereco Fisico: 6378 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1100011 | Endereco Fisico: 6379 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1100100 | Endereco Fisico: 6468 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1100101 | Endereco Fisico: 6469 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1100110 | Endereco Fisico: 6478 | Tamanho: 4096 | id: 5
| Endereco Virtual: 1100111 | Endereco Fisico: 6479 | Tamanho: 4096 | id: 6
| Endereco Virtual: 1101000 | Endereco Fisico: 7368 | Tamanho: 4096 | id: 6
| Endereco Virtual: 1101001 | Endereco Fisico: 7369 | Tamanho: 4096 | id: 6
| Endereco Virtual: 1101010 | Endereco Fisico: 7378 | Tamanho: 4096 | id: 6
| Endereco Virtual: 1101011 | Endereco Fisico: 7379 | Tamanho: 4096 | id: 6
| Endereco Virtual: 1101100 | Endereco Fisico: 7468 | Tamanho: 4096 | id: 6
| Endereco Virtual: 1101101 | Endereco Fisico: 7469 | Tamanho: 4096 | id: 6
